ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source,Segment_Slice
Ramarama-121_agouti-1-1,Ramarama-121_agouti-1,mãkaiã,86,false,expert,,m ã k ai - ã,,,1
Ramarama-378_anatto-1-1,Ramarama-378_anatto-1,kokó,342,false,expert,,k o - - k ó -,,,1
Ramarama-62_arm-1-1,Ramarama-62_arm-1,pãŋwa,484,false,expert,,p ã ŋʷ a - - - -,,,1
Ramarama-62_arm-2-1,Ramarama-62_arm-2,pãŋwetané,484,false,expert,,p ã ŋʷ e t a n é,,,1
Ramarama-357_armadillo-1-1,Ramarama-357_armadillo-1,jajo,553,false,expert,,j a - j o - - -,,,1
Ramarama-172_arrow-1-1,Ramarama-172_arrow-1,sjuã,676,false,expert,,s j uã,,,1
Ramarama-227_axe-1-1,Ramarama-227_axe-1,ijanonoŋ,740,false,expert,,i j a n o - n o ŋ,,,1
Ramarama-234_badevil-1-1,Ramarama-234_badevil-1,septem,915,false,expert,,s e p t e m,,,1
Ramarama-45_banana-1-1,Ramarama-45_banana-1,iwa,1015,false,expert,,- i w a,,,1
Ramarama-240_beads-1-1,Ramarama-240_beads-1,majkup,1292,false,expert,,m a j - k u p,,,1
Ramarama-59_beautiful-1-1,Ramarama-59_beautiful-1,paatém,1411,false,expert,,p aː t é m -,,,1
Ramarama-374_bellybutton-1-1,Ramarama-374_bellybutton-1,oroká,1505,false,expert,,- - - o r o k á -,,,1
Ramarama-338_blood-1-1,Ramarama-338_blood-1,u,1913,false,expert,,u,,,1
Ramarama-348_blow-1-1,Ramarama-348_blow-1,pupu,1975,false,expert,,- - - p u p u - -,,,1
Ramarama-269_bone-1-1,Ramarama-269_bone-1,tʃigã,2089,false,expert,,tʃ i g - - ã,,,1
Ramarama-31_bow-1-1,Ramarama-31_bow-1,sjuãmbé,2154,false,expert,,- s j uã mb - é - - - -,,,1
Ramarama-342_breast-1-1,Ramarama-342_breast-1,nãmá,2429,false,expert,,- - n ã m - á - -,,,1
Ramarama-205_brother-1-1,Ramarama-205_brother-1,ité,2541,false,expert,,- - i t - - é,,,1
Ramarama-60_butterfly-1-1,Ramarama-60_butterfly-1,kuruwep,2857,false,expert,,k u r u w e p - - - - - - - -,,,1
Ramarama-68_calabashgourd-1-1,Ramarama-68_calabashgourd-1,mapeá,2941,false,expert,,- - m a p - - eá,,,1
Ramarama-225_capuchinmonkey-1-1,Ramarama-225_capuchinmonkey-1,naói,3074,false,expert,,n a ó i,,,1
Ramarama-199_cararootyam-1-1,Ramarama-199_cararootyam-1,jamó,3154,false,expert,,j a m ó,,,1
Ramarama-75_cashew-1-1,Ramarama-75_cashew-1,tson,3193,false,expert,,ts o n,,,1
Ramarama-116_child-1-1,Ramarama-116_child-1,merimit,228,false,expert,,m e r i m i t -,,,1
Ramarama-71_cocoa-1-1,Ramarama-71_cocoa-1,karajá,3581,false,expert,,k a r a j á,,,1
Ramarama-238_cornmaize-1-1,Ramarama-238_cornmaize-1,nãjeŋ,3811,false,expert,,n ã j e ŋ,,,1
