ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,SubGroup,Source
AcuaTupi,Açuã Tupi,,,,,-7.231441,-64.131324,,Tupi-Guarani,
Akuntsu,Akuntsu,akun1241,Akuntsu,aqz,South America,-12.8322,-60.9716,Tupian,Tuparí,
Amanaye,Amanaye,aman1266,Amanayé,ama,South America,-3.8,-48.66,Tupian,Tupi-Guarani,
Amondawa,Amondawa,amun1246,Amundava,adw,South America,-9.04023,-62.3064,Tupian,Tupi-Guarani,
Anambe,Anambe,anam1249,Anambé,aan,South America,-2.71119,-49.303,Tupian,Tupi-Guarani,
AnambeEhrenreich,Anambe Ehrenreich,anam1251,Anambe of Ehrenreich,,South America,-4.5,-50.5,Tupian,Tupi-Guarani,
Apapokuva,Apapokuva,,,,,-23.7325,-54.4528,,Tupi-Guarani,
Apiaka,Apiaka,apia1248,Apiaká,api,South America,-7.84711,-57.91,Tupian,Tupi-Guarani,
Arawete,Araweté,araw1273,Araweté,awt,South America,-4.90246,-52.5001,Tupian,Tupi-Guarani,
Arawine,Arawine,,,,,-12,-52.6,,Tupi-Guarani,
Arikem,Arikem,arik1264,Arikem,ait,South America,-8.92,-63.74,Tupian,Arikem,
Arua,Arua,arua1261,Aruá (Rondonia State),arx,South America,-12.12,-62.44,Tupian,Mondé,
Aruashi,Aruashi,arua1262,Aruáshi,,South America,-12.5,-62.5,Tupian,Mondé,
AsuriniTocantins,Asuriní Tocantins,toca1235,Tocantins Asurini,asu,South America,-3.59359,-49.8991,Tupian,Tupi-Guarani,
AsuriniXingu,Asuriní Xingu,xing1248,Xingú Asuriní,asn,South America,-4.13463,-52.321,Tupian,Tupi-Guarani,
AureAura,Aure Aura,aura1243,Aurê y Aurá,aux,South America,-4.14,-46.79,Tupian,Tupi-Guarani,
AvaCanoeiro,Avá Canoeiro,avac1239,Avá-Canoeiro,avv,South America,-13.6081,-48.1336,Tupian,Tupi-Guarani,
Aweti,Awetí,awet1244,Awetí,awe,South America,-12.381944,-53.391944,Tupian,Aweti,
Chiriguano,Chiriguano,east2555,Eastern Bolivian Guaraní,gui,South America,-20.42,-63.37,Tupian,Tupi-Guarani,
Nandeva,Ñandeva,chir1286,Chiripá,nhd,South America,-25.65,-55.05,Tupian,Tupi-Guarani,
CintaLarga,Cinta-Larga,cint1239,Cinta Larga,cin,South America,-10.5879,-60.8312,Tupian,Mondé,
Kokama,Kokama,coca1259,Cocama-Cocamilla,cod,South America,-4.5,-74,Tupian,Omagua-Kokama,
Teko,Teko,emer1243,Teko,eme,South America,3.23694,-52.3699,Tupian,Tupi-Guarani,
Gaviao,Gavião,gavi1246,Gavião Do Jiparaná,gvo,South America,-10.7235,-61.6752,Tupian,Mondé,
Guaja,Guajá,guaj1256,Guajá,gvj,South America,-3.93574,-46.3683,Tupian,Tupi-Guarani,
Guajajara,Guajajara,guaj1255,Guajajára,gub,South America,-4.69461,-45.7081,Tupian,Tupi-Guarani,
Guarani,Guaraní,para1311,Paraguayan Guaraní,gug,South America,-25.60551,-57.08816,Tupian,Tupi-Guarani,
Guarayo,Guarayo,guar1292,Guarayu,gyr,South America,-15.8247,-61.6934,Tupian,Tupi-Guarani,
Ache,Ache,ache1246,Aché,guq,South America,-25.5865,-56.4697,Tupian,Tupi-Guarani,
Jiahoi,Jiahoi,diah1239,Diahói,,South America,-8.04,-62.27,Tupian,Tupi-Guarani,
Jora,Jora,jora1240,Jorá,jor,South America,-15.75,-63.21,Tupian,Tupi-Guarani,
Juma,Juma,juma1249,Júma,jua,South America,-7.28,-64.1,Tupian,Tupi-Guarani,
Juruna,Juruna,juru1256,Jurúna,jur,South America,-10.9354,-53.3472,Tupian,Juruna,
Kaapor,Ka'apor,urub1250,Urubú-Kaapor,urb,South America,-2.46455,-46.2204,Tupian,Tupi-Guarani,
Kabanae,Kabanae,,,,,-6.333723,-60.519885,,Mondé,
Kaiowa,Kaiowa,kaiw1246,Kaiwá,kgk,South America,-24.589,-54.6815,Tupian,Tupi-Guarani,
Kamajura,Kamajura,kama1373,Kamayurá,kay,South America,-12.2661,-53.4651,Tupian,Tupi-Guarani,
Kampe,Kampe,,,,,-12.790872,-61.193643,,Tuparí,
Karipuna,Karipuna,,,,,-10.2284,-64.5556,,Tupi-Guarani,
Karitiana,Karitiana,kari1311,Karitiâna,ktn,South America,-9.37937,-64.1522,Tupian,Arikem,
Karo,Karo,karo1305,Karo (Brazil),arr,South America,-10.3342,-61.5691,Tupian,Ramarana-Purubora,
Kayabi,Kayabi,kaya1329,Kayabí,kyz,South America,-11.2747,-55.5479,Tupian,Tupi-Guarani,
Kepkiriwat,Kepkiriwat,kepk1241,Kepkiriwát,kpn,South America,-11.66,-61.25,Tupian,Tuparí,
Kuruaya,Kuruaya,kuru1309,Kuruáya,kyr,South America,-3.09561,-52.2303,Tupian,Munduruku,
TupiAustral,Tupí Austral,tupi1274,Lingua Geral Paulista,tpw,South America,-23.95,-46.38,Tupian,Tupi-Guarani,
Makurap,Makurap,maku1278,Makuráp,mpu,South America,-11.8701,-64.3201,Tupian,Tuparí,
Matanau,Matanau,,,,,-6.0372,-60.48,,Mondé,
Mbya,Mbya,mbya1239,Mbyá Guaraní,gun,South America,-26.0188,-52.711,Tupian,Tupi-Guarani,
Mekens,Mekens,saki1248,Mekens,skf,South America,-13.054,-62.0927,Tupian,Tuparí,
Monde,Monde,sala1273,Salamãi,mnd,South America,-12.0499,-61.25,Tupian,Mondé,
Munduruku,Mundurukú,mund1330,Mundurukú,myu,South America,-8.41095,-57.691,Tupian,Munduruku,
Nheengatu,Nheengatu,nhen1239,Nhengatu,yrl,South America,1.04503,-66.9646,Tupian,Tupi-Guarani,
NtogapidItogapuk,Ntogapid-Itogapuk,,,,,-10.452133,-61.66003,,Ramarana-Purubora,
OldGuarani,Old Guaraní,,,,,-26.25,-54.29,,Tupi-Guarani,
Omagua,Omagua,omag1248,Omagua,omg,South America,-3.53,-69.17,Tupian,Omagua-Kokama,
Parakana,Parakana,para1312,Parakanã,pak,South America,-4.64681,-50.0621,Tupian,Tupi-Guarani,
Parintintin,Parintintin,tenh1241,Tenharim-Parintintin-Diahoi,pah,South America,-7.92626,-61.936,Tupian,Tupi-Guarani,
Piripkura,Piripkura,,,,,-9.70581,-61.01505,,Tupi-Guarani,
Purubora,Purubora,puru1264,Puruborá,pur,South America,-11.4226,-62.4358,Tupian,Ramarana-Purubora,
Ramarama,Ramarama,,,,,-10.4,-63,,Ramarana-Purubora,
Mawe,Mawe,sate1243,Sateré-Mawé,mav,South America,-3.63897,-56.8749,Tupian,Mawé,
Siriono,Siriono,siri1273,Sirionó,srq,South America,-15.5298,-63.9688,Tupian,Tupi-Guarani,
SuruiAikewara,Surui-Aikewara,suru1261,Suruí Do Pará,mdz,South America,-5.93,-48.59,Tupian,Tupi-Guarani,
SuruiPaiter,Surui-Paiter,suru1262,Suruí,sru,South America,-11.0989,-61.2818,Tupian,Mondé,
Takunjape,Takunjape,tacu1234,Tacunyape,,South America,-4.56,-53.75,Tupian,Tupi-Guarani,
Tapiete,Tapiete,tapi1253,Tapieté,tpj,South America,-21.4169,-62.684,Tupian,Tupi-Guarani,
Tapirape,Tapirapé,tapi1254,Tapirapé,taf,South America,-10.5373,-50.5438,Tupian,Tupi-Guarani,
Tembe,Tembe,temb1276,Tenetehara,tqb,South America,-2.6123,-48.2359,Tupian,Tupi-Guarani,
Tenharim,Tenharim,,,,,-8.32882,-61.8972,,Tupi-Guarani,
Tupari,Tupari,tupa1250,Tuparí,tpr,South America,-11.8884,-62.2544,Tupian,Tuparí,
Wirafed,Wirafed,,,,,-12.523397,-61.358125,,Tupi-Guarani,
Tupinamba,Tupinambá,tupi1273,Tupinambá,tpn,South America,-8.1055,-34.887,Tupian,Tupi-Guarani,
Turiwara,Turiwara,turi1247,Turiwára,twt,South America,-2,-49.5,Tupian,Tupi-Guarani,
Urueuwauwau,Urueuwauwau,urue1240,Uru-Eu-Wau-Wau,urz,South America,-10.9176,-63.8086,Tupian,Tupi-Guarani,
Uruku,Uruku,,,,,-8.9,-62,,Ramarana-Purubora,
Urumi,Urumi,urum1250,Urumi,uru,South America,-9.08,-63.85,Tupian,Ramarana-Purubora,
Warazu,Warazu,paus1244,Warázu,psm,South America,-12.8553,-63.1903,Tupian,Tupi-Guarani,
Wayampi,Wayampi,waya1270,Wayampi,oym,South America,1.73817,-52.6887,Tupian,Tupi-Guarani,
Wayoro,Wayoro,wayo1238,Wayoró,wyr,South America,-12.6945,-61.3064,Tupian,Tuparí,
Xeta,Xeta,xeta1241,Xetá,xet,South America,-24.9408,-52.2266,Tupian,Tupi-Guarani,
Xipaya,Xipaya,xipa1240,Xipaya,xiy,South America,-4.133,-49.948,Tupian,Juruna,
Yuki,Yuki,yuqu1240,Yuqui,yuq,South America,-16.7875,-64.9438,Tupian,Tupi-Guarani,
Zoe,Zo'e,zoee1240,Zo'é,pto,South America,-1.77,-55.51,Tupian,Tupi-Guarani,
Zoro,Zoro,gavi1246,Gavião Do Jiparaná,gvo,South America,-10.7235,-61.6752,Tupian,Mondé,
