NUMBER	ENGLISH	PORTUGUESE	SEMANTIC_FIELD	CONCEPTICON_ID	CONCEPTICON_GLOSS	EOL
1	ABOVE	EM CIMA (DE)	SPATIAL_RELATIONS	1741	ABOVE	
2	AFTER	DEPOIS (DE)	SPATIAL_RELATIONS	1685	AFTER	
3	AGOUTI	CUTIA	ANIMALS	313	AGOUTI	42029
4	ALL	TODOS / TUDO	QUANTITY	98	ALL	
5	ALONE	SÓ / SOZINHO	QUANTITY	1964	ALONE	
6	ANACONDA	SUCURI	ANIMALS	896	ANACONDA (WATER BOA)	794661
7	ANATTO	URUCU	AGRICULTURE_AND_VEGETATION			584439
8	ANT	FORMIGA	ANIMALS	587	ANT	
9	ANTEATER	TAMANDUÁ	ANIMALS	181	ANTEATER	1661
10	ANUS	ÂNUS	BODY	1935	ANUS	
11	MOUNTAIN SOURSOP	ARATICUM / JACA DE POBRE	FOOD_AND_DRINK			1054865
12	ARM	BRAÇO	BODY	1673	ARM	
13	ARMADILLO	TATU	ANIMALS	1885	ARMADILLO	
14	ARRIVE	CHEGAR	MOTION	1387	ARRIVE	
15	ARROW	FLECHA	WARFARE_AND_HUNTING	977	ARROW	
16	ASHES	CINZA (S)	PHYSICAL_WORLD	646	ASH	
17	AVENGE	VINGAR (-SE)	EMOTIONS_AND_VALUES	495	REVENGE	
18	AXE	MACHADO	WARFARE_AND_HUNTING	677	AXE	
19	AÇAÍ PALM	AÇAÍ	AGRICULTURE_AND_VEGETATION	2437	ACAI PALM	1100375
20	BACK	COSTAS	BODY	1291	BACK	
21	BABAÇU	BABAÇU	AGRICULTURE_AND_VEGETATION			1131651
22	BAD / EVIL	MAU / MAL / RUIM	EMOTIONS_AND_VALUES	3764	BAD OR EVIL	
23	BAMBOO	TAQUARA / BAMBU	AGRICULTURE_AND_VEGETATION	1827	HARVEST CROPS	
24	BANANA	BANANA	FOOD_AND_DRINK	868	BANANA	44527
25	BASKET	CESTO / CESTA	BASIC_ACTIONS_AND_TECHNOLOGY	1539	BASKET	
26	BAT	MORCEGO	ANIMALS	1793	BAT	7631
27	BATHE	BANHAR-SE	BODY	138	BATHE	
28	BEADS	MIÇANGAS / CONTAS	CLOTHING_AND_GROOMING	1860	BEAD	
29	BE HUNGRY	TER FOME	BODY	1533	BE HUNGRY	
30	BE WRONG	ERRAR / ESTAR ERRADO	EMOTIONS_AND_VALUES	1390	WRONG	
31	BEANS	FEIJÃO	FOOD_AND_DRINK	2574	BEAN OR PEA	4277
32	BEARD	BARBA	BODY	678	BEARD	
33	BEAUTIFUL	BONITO	EMOTIONS_AND_VALUES	1427	BEAUTIFUL	
34	BEE	ABELHA	ANIMALS	665	BEE	
35	BELLY	UMBIGO	BODY	1251	BELLY	
36	BELLYBUTTON	UMBIGO	BODY	3715	BELLYBUTTON	
37	BELOW	EM BAIXO DE / ABAIXO	SPATIAL_RELATIONS	1485	BELOW OR UNDER	
38	BENCH	BANCO	BASIC_ACTIONS_AND_TECHNOLOGY	2584	BENCH	
39	BIG	GRANDE	SPATIAL_RELATIONS	1202	BIG	
40	BIRD	PÁSSARO	ANIMALS	937	BIRD	
41	BITE	MORDER	BODY	1403	BITE	
42	BLACK	PRETO	SENSE_PERCEPTION	163	BLACK	
43	BLOOD	SANGUE	BODY	946	BLOOD	
44	BLOW	SOPRAR	MOTION	176	BLOW (WITH MOUTH)	
45	BLUE	AZUL	SENSE_PERCEPTION	837	BLUE	
46	BODY	CORPO	BODY	1480	BODY	
47	BONE	OSSO	BODY	1394	BONE	
48	BOW	ARCO	WARFARE_AND_HUNTING	994	BOW	
49	BOY	MENINO	KINSHIP	1366	BOY	
50	BRANCH	GALHO	AGRICULTURE_AND_VEGETATION	1531	BRANCH	
51	BRAZIL NUT	CASTANHA DO PARÁ	FOOD_AND_DRINK			321258
52	BREAK	QUEBRAR / ROMPER	BASIC_ACTIONS_AND_TECHNOLOGY	3020	BREAK (BREAKING)	
53	BREAST	SEIO	BODY	1402	BREAST	
54	BREATHE	RESPIRAR	BODY	1407	BREATHE	
55	BROTHER	IRMÃO	KINSHIP	1262	BROTHER	
56	BROTHER, younger of man	IRMÃO	KINSHIP			
57	BROTHER, older of man	IRMÃO	KINSHIP			
58	BROTHER, younger of woman	IRMÃO	KINSHIP			
59	BROTHER, older of woman	IRMÃO	KINSHIP			
60	BURN (intr)	QUEIMAR	PHYSICAL_WORLD	2102	BURN	
61	BURN (tr)	QUEIMAR	PHYSICAL_WORLD	141	BURN (SOMETHING)	
62	BURY	ENTERRAR	BODY	1719	BURY	
63	BUTTOCKS	NÁDEGAS	BODY	834	BUTTOCKS	
64	SLASH	ROÇA	AGRICULTURE_AND_VEGETATION	201	FARM	
65	BUTTERFLY	BORBOLETA	ANIMALS	1791	BUTTERFLY	854
66	CALABASH / GOURD	CABAÇA, CUIA	AGRICULTURE_AND_VEGETATION	411	GOURD	578228
67	CANOE	CANOA	MOTION	1970	CANOE	
68	CAPUCHIN MONKEY	MACACO PREGO	ANIMALS			28561340
69	CAPYBARA	CAPIVARA	ANIMALS	314	CAPYBARA	326517
70	CARÁ ROOT / YAM	INHAME	AGRICULTURE_AND_VEGETATION	410	YAM	8214
71	(Brazilian) CEDAR	ACAIACÁ / CEDRO-BATATA	AGRICULTURE_AND_VEGETATION			6953697
72	CENTIPEDE	CENTOPEIA / LACRAIA	ANIMALS	1974	CENTIPEDE	576
73	CHICHA	CHICHA	FOOD_AND_DRINK	441	CHICHA	
74	CHIEF / MASTER / OWNER	CHEFE / CACIQUE	SOCIAL_AND_POLITICAL_RELATIONS	2394	CHIEF	
75	CASHEW	CAJU	FOOD_AND_DRINK	2441	CASHEW	71147
76	CHILD	CRIANÇA	KINSHIP	2099	CHILD	
77	CICADA	CIGARRA	ANIMALS	2353	CICADA	2645413
78	CLAW	GARRA	BODY	2128	CLAW OR NAIL	
79	MUD	BARRO / ARGILA	BASIC_ACTIONS_AND_TECHNOLOGY / THE_PHYSICAL_WORLD	640	MUD	
80	CLOUD	NUVEM	PHYSICAL_WORLD	1489	CLOUD	
81	COATI	QUATI	ANIMALS	2389	COATI (COATIMUNDI)	328601
82	COCKROACH	BARATA	ANIMALS	1575	COCKROACH	413
83	COCOA	CACAU	AGRICULTURE_AND_VEGETATION	2442	COCOA BEAN	484592
84	COLD	FRIO	SENSE_PERCEPTION	1287	COLD	
85	COME	VIR	MOTION	1446	COME	
86	COMB	PENTE	CLOTHING_AND_GROOMING	1475	COMB	
87	CORN / MAIZE	MILHO	AGRICULTURE_AND_VEGETATION	3686	CORN HUSK	1115259
88	COTTON	ALGODÃO	CLOTHING_AND_GROOMING	1850	COTTON	47124114
89	CRAB	CARANGUEIJO	ANIMALS	2348	CRAB	
90	CRICKET (zool)	GRILO	ANIMALS	2354	CRICKET	996
91	CRY	CHORAR	EMOTIONS_AND_VALUES	1839	CRY	
92	CURASSOW	MUTUM	ANIMALS	315	CURASSOW	45512062
93	CUT	CORTAR	BASIC_ACTIONS_AND_TECHNOLOGY	1432	CUT	
94	DANCE	DANÇAR	MOTION	1579	BE	
95	DAUGHTER OF WOMAN	FILHA DE MULHER	KINSHIP	1357	DAUGHTER	
96	DAUGHTER OF MAN	FILHA DE HOMEM	KINSHIP	1357	DAUGHTER	
97	DAY	DIA	TIME	1260	DAY (24 HOURS)	
98	DEER	VEADO	ANIMALS	1936	DEER	
99	DEFECATE	DEFECAR	BODY	676	SHIT (DEFECATE)	
100	DIE	MORRER	BODY	1494	DIE	
101	DIG	CAVAR	AGRICULTURE_AND_VEGETATION	1418	DIG	
102	DIGGING STICK	VARA DE ESCAVAÇÃO	AGRICULTURE_AND_VEGETATION	339	DIGGING STICK	
103	DIRTY	SUJO	SENSE_PERCEPTION	1230	DIRTY	
104	DO / MAKE	FAZER	BASIC_ACTIONS_AND_TECHNOLOGY	813	DO	
105	DOG	CACHORRO / CÃO	ANIMALS	2009	DOG	
106	DOOR	PORTA	THE_HOUSE	1567	DOOR	
107	DRAW / PAINT	PINTAR / DESENHAR	BASIC_ACTIONS_AND_TECHNOLOGY	3122	PAINT (SOMETHING)	
108	DREAM	SONHO / SONHAR	BODY	2374	DREAM	
109	DREAM (verb)	SONHAR	BODY	1920	DREAM (SOMETHING)	
110	DRESS UP	VESTIR (-SE)	CLOTHING_AND_GROOMING	814	DRESS UP	
111	DRINK (v)	BEBER	FOOD_AND_DRINK	1401	DRINK	
112	DRY	SECAR	BASIC_ACTIONS_AND_TECHNOLOGY	1786	DRY UP	
113	DRY (state)	SECO	SENSEÏ_PERCEPTION	1398	DRY	
114	EARTH / LAND	TERRA / PAÍS	PHYSICAL_WORLD	3603	EARTH OR LAND	
115	EAR	ORELHA	BODY	1247	EAR	
116	EAT (intr.)	COMER	FOOD_AND_DRINK	1336	EAT	
117	EAT (tr.)	COMER	FOOD_AND_DRINK	1336	EAT	
118	EGG	OVO	FOOD_AND_DRINK	744	EGG	
119	CECROPIA	EMBAÚBA / IMBAÚBA	AGRICULTURE_AND_VEGETATION			61334
120	EEL	ENGUIA / PEIXE ELÉTRICO / PORAQUÊ	ANIMALS	2443	ELECTRIC EEL	206595
121	ENTER	ENTRAR	MOTION	749	ENTER	
