ID	Name	Family	ISO639P3code	Language_ID	Glottocode	Longitude	Latitude	SubGroup	Sources
Akuntsu	Akuntsu	Tuparí	aqz	aqz	akun1241	-60.9716	-12.8322		86777,84075,aragon2018variaccoes,aragon2014grammar
Amanaye	Amanaye	Tupi-Guarani	ama	ama	aman1266	-48.66	-3.8		80489,156341,61842,310985,131013,20751
Amondawa	Amondawa	Tupi-Guarani	adw	adw	amun1246	-62.3064	-9.04023		140705,22397,557297,576822,67885,301424
Anambe	Anambe	Tupi-Guarani	aan	aan	anam1249	-49.303	-2.71119		155672,80489,juliao2005aspects
AnambeEhrenreich	Anambe Ehrenreich	Tupi-Guarani		ane	anam1251	-50.5	-4.5		ehrenreich1895materialien
Apapokuva	Apapokuva	Tupi-Guarani		apa		-54.4528	-23.7325		20477,dietrich2014lingua
Apiaka	Apiaka	Tupi-Guarani	api	api	apia1248	-57.91	-7.84711		156203,552301
Arawete	Araweté	Tupi-Guarani	awt	awt	araw1273	-52.5001	-4.90246		spoladore2017estudo,95285,37959
Arikem	Arikem	Arikem	ait	ait	arik1264	-63.74	-8.92		134597
Arua	Arua	Mondé	arx	arx	arua1261	-62.44	-12.12		21187,10429,caspar1955arua,snethlage2016guapore,loukotka1963documents
Aruashi	Aruashi	Mondé	arx	arx-arua	arua1262	-62.5	-12.5		loukotka1968classification,loukotka1963documents
AsuriniTocantins	Asuriní Tocantins	Tupi-Guarani	asu	asu	toca1235	-49.8991	-3.59359		69073,155672,129842,86208,139162,cabral2003dicionario
AsuriniXingu	Asuriní Xingu	Tupi-Guarani	asn	asn	xing1248	-52.321	-4.13463		118180,23526,144735,54139,161668
AvaCanoeiro	Avá Canoeiro	Tupi-Guarani	avv	avv	avac1239	-48.1336	-13.6081		silva2015elementos,do2015expressao,borges2006aspectos
Aweti	Awetí	Aweti	awe	awe	awet1244	-53.391944	-12.381944		557177,92265,galucio2015genealogical,solano2009descricao,meira2015summary,drude2011aweti,daSilva2010mawe
Chiriguano	Chiriguano	Tupi-Guarani	gui	gui	east2555	-63.37	-20.42		dietrich1986idioma
Nandeva	Ñandeva	Tupi-Guarani	nhd	nhd	chir1286	-55.05	-25.65		costa2010nhandewa,315624
CintaLarga	Cinta-Larga	Mondé	cin	cin	cint1239	-60.8312	-10.5879		galucio2015genealogical,anonby2013report,larga1988mantere,anonby2013report,rodrigues1966classificaccao,472712,129494,76585,107505,felzke2019kinship,anonby2012historical
Kokama	Kokama	Omagua-Kokama	cod	cod	coca1259	-74	-4.5		43829,307372,575624,315979
Teko	Teko	Tupi-Guarani	eme	eme	emer1243	-52.3699	3.23694		422367,156582,18538,551822,551821,48393,128718,61707,12147,59404,33113
Gaviao	Gavião	Mondé	gvo	gvo-gaviao	gavi1246	-61.6752	-10.7235		anonby2013report,galucio2015genealogical,82292,104675,319703,121919,36521,131130,46716,50840,anonby2012historical
Guaja	Guajá	Tupi-Guarani	gvj	gvj	guaj1256	-46.3683	-3.93574		74771,cormier2003kinship,balee2013cultural,salles2019particula
Guajajara	Guajajara	Tupi-Guarani	gub	gub	guaj1255	-45.7081	-4.69461		harrison2013dicionario,87789,12520,15262,471769
Guarani	Guaraní	Tupi-Guarani	gug	gug	para1311	-57.08816	-25.60551		gregores2018description,estigarribia2020grammar
Guarayo	Guarayo	Tupi-Guarani	gyr	gyr	guar1292	-61.6934	-15.8247		hoeller1932guarayo,holler1932grammatik,302550,66584,147767,138976
Ache	Ache	Tupi-Guarani	guq	guq	ache1246	-56.4697	-25.5865		roessler2018syntactic,106574,76487,314547,69188,rossler2015inflectional,roessler2018syntactic
