LEXEME	REPLACEMENT	COMMENT
járo ʃak top	járo_ʃak_top	Invalid multi-word string: járo ʃak top (1 cases)
jogoj wuj	jogoj_wuj	Invalid multi-word string: jogoj wuj (1 cases)
iʔjat ʃu	iʔjat_ʃu	Invalid multi-word string: iʔjat ʃu (1 cases)
pak pak	pak_pak	Invalid multi-word string: pak pak (1 cases)
ʃo puʔ	ʃo_puʔ	Invalid multi-word string: ʃo puʔ (1 cases)
ʃeti ʃetoj	ʃeti_ʃetoj	Invalid multi-word string: ʃeti ʃetoj (1 cases)
paj nãn	paj_nãn	Invalid multi-word string: paj nãn (1 cases)
ʃɨm jegat	ʃɨm_jegat	Invalid multi-word string: ʃɨm jegat (1 cases)
ip nakãra	ip_nakãra	Invalid multi-word string: ip nakãra (1 cases)
nam ʃu	nam_ʃu	Invalid multi-word string: nam ʃu (1 cases)
weri weri	weri_weri	Invalid multi-word string: weri weri (1 cases)
ɲoron ɲoron	ɲoron_ɲoron	Invalid multi-word string: ɲoron ɲoron (1 cases)
tsego pɨk	tsego_pɨk	Invalid multi-word string: tsego pɨk (1 cases)
ʃára kaʔ	ʃára_kaʔ	Invalid multi-word string: ʃára kaʔ (1 cases)
ʃahmãj nãn	ʃahmãj_nãn	Invalid multi-word string: ʃahmãj nãn (1 cases)
kãri nãn	kãri_nãn	Invalid multi-word string: kãri nãn (1 cases)
ot puʔ	ot_puʔ	Invalid multi-word string: ot puʔ (1 cases)
ʔõn ʔõn	ʔõn_ʔõn	Invalid multi-word string: ʔõn ʔõn (1 cases)
ameko ʔɨbĩrɨp	ameko_ʔɨbĩrɨp	Invalid multi-word string: ameko ʔɨbĩrɨp (1 cases)
ʒakəɲa kido	ʒakəɲa_kido	Invalid multi-word string: ʒakəɲa kido (1 cases)
gia hɨɨja*	gia_hɨɨja*	Invalid multi-word string: gia hɨɨja* (1 cases)
uuju murũm	uuju_murũm	Invalid multi-word string: uuju murũm (1 cases)
apijo nã	apijo_nã	Invalid multi-word string: apijo nã (1 cases)
akʷanĩ ĩn	akʷanĩ_ĩn	Invalid multi-word string: akʷanĩ ĩn (1 cases)
ɲũk ɨranĩĩn	ɲũk_ɨranĩĩn	Invalid multi-word string: ɲũk ɨranĩĩn (1 cases)
ʔiβot kʷaret	ʔiβot_kʷaret	Invalid multi-word string: ʔiβot kʷaret (1 cases)
ʔɨβao poot	ʔɨβao_poot	Invalid multi-word string: ʔɨβao poot (1 cases)
engora nãm	engora_nãm	Invalid multi-word string: engora nãm (1 cases)
