Grapheme	IPA	Frequency	CLTS	Examples	Languages
	?	1	?	koraʔa	kuruaya
w	?	1	?	tʃawap	kuruaya
'a	?	2	?	'ap, se'a	karitiana
'e	?	3	?	'ep, sa'ep, sa'ewotyt	karitiana
'o	?	5	?	'op, ge'op, kina'o	karitiana
'y	?	2	?	koromopi'yp, ti'y	karitiana
'õ	?	2	?	ke'õn, nẽ'õm	karitiana
'ĩ	?	3	?	eje'ĩn, my'ĩnã, soko'ĩ	karitiana
'ʔ	?	4	?	ku'ʔa, paádja'ʔo, saʔi'ʔum	gaviaoikoloehj, suruiaikewara
*	?	85	?	adʒɨ*, aka*, ana*	amondawa, arikem, arua, asurinidoxingu, chiriguano, cintalarga, emerillonteko, gaviaoikoloehj, guaja, guarayo, jiahoi, jora, kaiowa, kuruaya, makurap, mekenssakurabiat, monde, munduruku, nheengatu, omagua, parakana, purubora, siriono, suruiaikewara, suruipaiter, tenharim, tupari, wayoro, xeta, xipaya, zoe
**	?	7	?	bi**, biʔd**, irõm**	arikem, kuruaya, xipaya
;	?	1	?	aindi;	wayoro
a	a	11689	unrounded open front vowel	-ana-, -anam, -anã-	akuntsu, amondawa, anambe, apiaka, arawete, arikem, arua, aruashi, asurinidotocantins, asurinidoxingu, avacanoeiro, aweti, chiriguano, chiripanandevaavaguarani, cintalarga, cocamacocamilla, emerillonteko, gaviaoikoloehj, guaja, guajajara, guaraniparaguay, guarayo, guayakiache, jiahoi, jora, juma, juruna, kaaporurubu, kaiowa, kamayura, karitiana, karoarara, kayabi, kuruaya, makurap, mbya, mekenssakurabiat, monde, munduruku, nheengatu, omagua, parakana, parintintin, purubora, sateremawe, siriono, suruiaikewara, suruipaiter, tapiete, tapirapeapyawa, tembe, tenharim, tupari, urueuwauwau, warazupauserna, wayampi, wayoro, xeta, xipaya, yuki, zoe, zoro
aa	aː	157	long unrounded open front vowel	aa, aapɨ, aat	arawete, arikem, arua, asurinidotocantins, asurinidoxingu, chiriguano, cintalarga, gaviaoikoloehj, guaraniparaguay, guarayo, guayakiache, juruna, kaiowa, karitiana, karoarara, kayabi, makurap, mbya, mekenssakurabiat, monde, parakana, purubora, sateremawe, siriono, suruipaiter, tapirapeapyawa, tupari, wayampi, wayoro, xeta, xipaya, yuki, zoro
aaa	a	1	unrounded open front vowel	katkaraaap	gaviaoikoloehj
aai	a	2	unrounded open front vowel	kaai, ɨkʷaai	makurap, mekenssakurabiat
ae	ae	54	from unrounded open front to unrounded close-mid front diphthong	ae, aekɨ̃a, aekʔa	amondawa, apiaka, arua, asurinidoxingu, avacanoeiro, chiriguano, cintalarga, cocamacocamilla, emerillonteko, guarayo, jiahoi, kaiowa, kamayura, kayabi, makurap, mbya, mekenssakurabiat, monde, munduruku, nheengatu, siriono, tapiete, tapirapeapyawa, tenharim, tupari, urueuwauwau, warazupauserna, xipaya
aea	a	1	unrounded open front vowel	maeapar	avacanoeiro
aeo	a	2	unrounded open front vowel	dʒaeo, jaeo	avacanoeiro, chiriguano
aeã	a	1	unrounded open front vowel	ejaeã	siriono
aẽ	a	1	unrounded open front vowel	ewaẽ	siriono
ai	ai	195	from unrounded open front to unrounded close front diphthong	abaibitirõnkja, ai, ai-hape	akuntsu, amondawa, anambe, apiaka, arawete, arikem, arua, aruashi, asurinidoxingu, avacanoeiro, chiriguano, cintalarga, cocamacocamilla, emerillonteko, guaja, guajajara, guaraniparaguay, guarayo, guayakiache, jiahoi, jora, juruna, kaaporurubu, kaiowa, kamayura, kayabi, kuruaya, makurap, mbya, mekenssakurabiat, monde, munduruku, nheengatu, omagua, parakana, parintintin, purubora, sateremawe, suruiaikewara, tapiete, tapirapeapyawa, tembe, tenharim, tupari, urueuwauwau, warazupauserna, wayampi, wayoro, xeta, xipaya, yuki, zoe
aia	a	1	unrounded open front vowel	sapukaia	nheengatu
aii	a	1	unrounded open front vowel	aii	monde
aiu	a	1	unrounded open front vowel	kaiu	warazupauserna
aĩ	aĩ	1	from unrounded open front to nasalized unrounded close front diphthong	paĩɲ	karitiana
ao	ao	44	from unrounded open front to rounded close-mid back diphthong	akaoka, ao, aoka	akuntsu, apiaka, arikem, avacanoeiro, emerillonteko, karoarara, kuruaya, makurap, mbya, mekenssakurabiat, munduruku, parakana, siriono, suruipaiter, tupari, wayampi, wayoro, zoe
aoo	a	1	unrounded open front vowel	tʃeβaoo	makurap
