Doculect	Subfamily	ISO	ID	Glottolog	Longitude	Latitude	Concept	Form	Cognate_Class	Comment
Makurap	Tuparí	mpu	mpu	maku1278	-64.3201	-11.8701	ABOVE	teteʔ	1	
Wayoró	Tuparí	wyr	wyr	wayo1238	-61.3064	-12.6945	ABOVE	tere	1	
Akuntsu	Tuparí	aqz	aqz	akun1241	-60.9716	-12.8322	ABOVE	top		
Gavião (Ikólóéhj)	Mondé	gvo	gvo-gaviao	gavi1246	-61.6752	-10.7235	ABOVE	tára	1	
Suruí-Paiter	Mondé	sru	sru	suru1262	-61.2818	-11.0989	ABOVE	enu		
Karitiana	Arikem	ktn	ktn	kari1311	-64.1522	-9.37937	ABOVE	anigokɨp / okɨp		Does not distinguish 'on' and 'over' (Everett, 2013: 84)
Juruna	Juruna	jur	jur	juru1256	-53.3472	-10.9354	ABOVE	tʃade	1	
Mundurukú	Munduruku	myu	myu	mund1330	-57.691	-8.41095	ABOVE	dʒedʒe	1	
Kuruaya	Munduruku	kyr	kyr	kuru1309	-52.2303	-3.09561	ABOVE	dede	1	
Sateré-Mawé	Mawé	mav	mav	sate1243	-56.8749	-3.63897	ABOVE	tote	1	
Awetí	Awetí	awe	awe	awet1244	-53.391944	-12.381944	ABOVE	ʔapo		
Parakanã	Tupí-Guaraní	pak	pak	para1312	-50.0621	-4.64681	ABOVE	ɨwate	3	
Asurini do Tocantins	Tupí-Guaraní	asu	asu	toca1235	-49.8991	-3.59359	ABOVE	ʔarimo	2	
Suruí (Pará)	Tupí-Guaraní	mdz	mdz	suru1262	-48.59	-5.93	ABOVE	ɨwete	3	
Tapirapé (Apyãwa)	Tupí-Guaraní	taf	taf	tapi1254	-50.5438	-10.5373	ABOVE	ʔarimo	2	
Tembé	Tupí-Guaraní	tqb	tqb	temb1276	-48.2359	-2.6123	ABOVE	ʔaramo / iwate	2 / 3	
Guajajara	Tupí-Guaraní	gub	gub	guaj1255	-45.7081	-4.69461	ABOVE	ʔaromo	2	
Apiaká	Tupí-Guaraní	api	api	apia1248	-57.91	-7.84711	ABOVE	iwate	3	
Parintintin	Tupí-Guaraní	pah	pah	tenh1241	-61.936	-7.92626	ABOVE	ʔara	2	
Amondawa	Tupí-Guaraní	adw	adw	amun1246	-62.3064	-9.04023	ABOVE	ʔarimo	2	
Tenharim	Tupí-Guaraní	xyz	xyz	????	-61.8972	-8.32882	ABOVE	ʔara	2	
Urueuwauwau	Tupí-Guaraní	urz	urz	urue1240	-63.8086	-10.9176	ABOVE	ʔarimo	2	
Tupi do Machado (Wirafed) †	Tupí-Guaraní	###	wir	????	-61.358125	-12.523397	ABOVE	árimo	2	
