ID	ALIGNMENT	CLASSES	COGID	COGIDS	COGNACY	CONCEPT	DOCULECT	DUPLICATES	FORM	IPA	LANGID	LANGUAGE_NAME	MORPHEMES	NUMBERS	PROSTRINGS	SONARS	TOKENS	VALUE	WEIGHTS	NOTE	BORROWING
1	n a ʔ o t	NAHUT	4182	411	emcimade	ABOVE	Karo	0	naʔot	naʔot	36	Karo (Arara)	ABOVE	36.N.C 36.A.V 36.H.C 36.U.V 36.T.c	AXBYN	4 7 1 7 1	n a ʔ o t	naʔot	2.0 1.5 1.75 1.3 0.8		
2	k a n ə̃ j̃	KANEJ	18	72	depoisde	AFTER	Karo	0	kanə̃j̃	kanə̃j̃	36	Karo (Arara)	AFTER	36.K.C 36.A.V 36.N.C 36.E.V 36.J.c	AXBYN	1 7 4 7 6	k a n ə̃ j̃	kanə̃j̃	2.0 1.5 1.75 1.3 0.8		
3	w a k - - + ã j a	WAKAJA	821	86 150	cutia2	AGOUTI	Karo	0	wakãja	wakãja	36	Karo (Arara)	AGOUTI _tooth	36.W.C 36.A.V 36.K.C 36.A.V 36.J.C 36.A.V	AXBYBZ	6 7 1 7 6 7	w a k + ã j a	wakãja	2.0 1.5 1.75 1.3 1.75 0.8		
4	t a m ə k -	TAMEK	4191	2558	todostudo0a	ALL	Karo	0	tamək	tamək	36	Karo (Arara)	ALL	36.T.C 36.A.V 36.M.C 36.E.V 36.K.c	AXBYN	1 7 4 7 1	t a m ə k	tamək / jakatɨɨm	2.0 1.5 1.75 1.3 0.8		
5	j a k a + t ɨː m	JAKATIM	26	206 884	todostudo0a	ALL	Karo	0	jakatɨɨm	jakatɨːm	36	Karo (Arara)	COPULA ASPECT	36.J.C 36.A.V 36.K.C 36.A.V 36.T.C 36.I.V 36.M.c	AXBYBYN	6 7 1 7 1 7 4	j a k a + t ɨː m	tamək / jakatɨɨm	2.0 1.5 1.75 1.3 1.75 1.3 0.8		
6	m ã j g ã r a ts a	MAJKARACA	46	301	sucuri	ANACONDA	Karo	0	mãjgãratsa	mãjgãratsa	36	Karo (Arara)	ANACONDA	36.M.C 36.A.V 36.J.c 36.K.C 36.A.V 36.R.C 36.A.V 36.C.C 36.A.V	AXMBYBYBZ	4 7 6 1 7 5 7 2 7	m ã j g ã r a ts a	mãjgãratsa	2.0 1.5 1.1 1.75 1.3 1.75 1.3 1.75 0.8		
7	k o - - k o -	KUKU	62	342	urucu4	ANATTO	Karo	0	koko	koko	36	Karo (Arara)	ANATTO	36.K.C 36.U.V 36.K.C 36.U.V	AXBZ	1 7 1 7	k o k o	koko	2.0 1.5 1.75 0.8		
8	- n a - - p ia -	NAPI	4212	2569	formiga	ANT	Karo	0	napia	napia	36	Karo (Arara)	ANT	36.N.C 36.A.V 36.P.C 36.I.V	AXBZ	4 7 1 7	n a p ia	napia	2.0 1.5 1.75 0.8		
9	- e ts i g u n -	ECIKYN	4219	2578	tamandua	ANTEATER	Karo	0	etsigun	etsigun	36	Karo (Arara)	ANTEATER	36.E.V 36.C.C 36.I.V 36.K.C 36.Y.V 36.N.c	XBYBYN	7 2 7 1 7 4	e ts i g u n	etsigun	1.5 1.75 1.3 1.75 1.3 0.8		
10	- - p ã b ɨ̃ ʔ - - -	PAPIH	3446	1573	braco5	ARM	Karo	0	pãbɨ́ʔ	pãbɨ̃ʔ	36	Karo (Arara)	ARM	36.P.C 36.A.V 36.P.C 36.I.V 36.H.c	AXBYN	1 7 1 7 1	p ã b ɨ̃ ʔ	pãbɨ́ʔ	2.0 1.5 1.75 1.3 0.8		
11	j a - j o - - -	JAJU	85	549	tatu1	ARMADILLO	Karo	0	jajo	jajo	36	Karo (Arara)	ARMADILLO	36.J.C 36.A.V 36.J.C 36.U.V	AXBZ	6 7 6 7	j a j o	jajo	2.0 1.5 1.75 0.8		
12	j a ʔ o n	JAHUN	4232	2588	chegar	ARRIVE	Karo	0	jaʔon	jaʔon	36	Karo (Arara)	ARRIVE	36.J.C 36.A.V 36.H.C 36.U.V 36.N.c	AXBYN	6 7 1 7 4	j a ʔ o n	jaʔon	2.0 1.5 1.75 1.3 0.8		
13	tʃ ṍa - b e - - - - -	TUPE	3702	1943	flechab	ARROW	Karo	0	tʃṍabe	tʃṍa/õabe	36	Karo (Arara)	ARROW	36.T.C 36.U.V 36.P.C 36.E.V	AXBZ	1 7 1 7	tʃ ṍa b e	tʃṍabe	2.0 1.5 1.75 0.8		
