ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	ALIGNMENT	COGID	COGIDS	MORPHEMES	BORROWING	NOTE
1	Karo	ABOVE	naʔot	naʔot	n a ʔ o t	n a ʔ o t	4182	411	ABOVE		
809	Makurap	ABOVE	teteʔ	teteʔ	t e t e ↓ʔ/Ø	- t e t e ↓ʔ/Ø	2745	979	ABOVE		
1159	Wayoro	ABOVE	tere	tere	t e !r/t e	- t e !r/t e -	2745	979	ABOVE		
1869	Akuntsu	ABOVE	top	top	t o p	t o p	5	1	ABOVE		
2707	Gavião	ABOVE	tára	tára	t á ɾ a	t á ɾ a - - - - -	1	3	ABOVE		
3892	Surui-Paiter	ABOVE	enu	enu	e n u	e n u	6	6	ABOVE		Looks a lot like Arawakan for 'above', note that there are other Arawakan loan in the Tupian language of RO (e.g., 'maize', 'paca' (in Káro))
4223	Karitiana	ABOVE	anigokɨp / okɨp	anigokɨp	a n i g o k ɨ p	a n i g o k ɨ p	4	5	ABOVE		Does not distinguish on and over (Everett, 2013: 84)
4224	Karitiana	ABOVE	anigokɨp / okɨp	okɨp	o k ɨ p	o - - k ɨ - - p	4	5	ABOVE		
5018	Juruna	ABOVE	tʃade	tʃade	tʃ a d e	- tʃ a d e -	2745	979	ABOVE		
5351	Mundurukú	ABOVE	dʒedʒé	dʒedʒé	dʒ e dʒ é	- dʒ e dʒ é -	2745	979	ABOVE		
5738	Kuruaya	ABOVE	dede	dede	d e d e	- d e d e -	2745	979	ABOVE		
6035	Mawe	ABOVE	tote / upi	tote	t o t e	- t o t e -	2745	979	ABOVE		
6409	Awetí	ABOVE	ʔapo	ʔapo	ʔ a p o	ʔ a - - - p o - -	1	3	ABOVE		
6705	Parakana	ABOVE	ɨwate	ɨwate	ɨ w a t e	ɨ w a t e	2	2	HIGH		
7065	Asuriní Tocantins	ABOVE	ʔarimo	ʔarimo	ʔ a ɾ i + m o	ʔ a ɾ i + m o - -	1	3 17	ABOVE THERE		
7295	Surui-Aikewara	ABOVE	ɨwete	ɨwete	ɨ w e t e	ɨ w e t e	2	2	HIGH		
7626	Tapirapé	ABOVE	ʔarimo	ʔarimo	ʔ a r i + m o	ʔ a r i + m o - -	1	3 17	ABOVE THERE		
7897	Tembe	ABOVE	ʔaramo / iwate	ʔaramo	ʔ a r a + m o	ʔ a r a + m o - -	1	3 17	ABOVE THERE		
7898	Tembe	ABOVE	ʔaramo / iwate	iwate	i w a t e	i w a t e	2	2	HIGH		
8231	Guajajara	ABOVE	ʔaromo	ʔaromo	ʔ a ɾ o + m o	ʔ a ɾ o + m o - -	1	3 17	ABOVE THERE		
8567	Apiaka	ABOVE	iwate	iwate	i w a t e	i w a t e	2	2	HIGH		
8815	Parintintin	ABOVE	ʔara	ʔara	ʔ a ɾ a	ʔ a ɾ a - - - - -	1	3	ABOVE		
9181	Amondawa	ABOVE	ʔarimo	ʔarimo	ʔ a ɾ i + m o	ʔ a ɾ i + m o - -	1	3 17	ABOVE THERE		
9482	Tenharim	ABOVE	ʔara	ʔara	ʔ a r a	ʔ a r a - - - - -	1	3	ABOVE		
9947	Urueuwauwau	ABOVE	ʔarimo	ʔarimo	ʔ a ɾ i + m o	ʔ a ɾ i + m o - -	1	3 17	ABOVE THERE		
10202	Wirafed	ABOVE	árimo	árimo	a ɾ i + m o	- a ɾ i + m o - -	1	3 17	ABOVE THERE		
10297	Kayabi	ABOVE	ʔarimũ	ʔarimũ	ʔ a ɾ i + m ũ	ʔ a ɾ i + m ũ - -	1	3 17	ABOVE THERE		
10531	Araweté	ABOVE	uhe	uhe	u h e	- u h e -	3	4	ABOVE		
10900	Guajá	ABOVE	ehe	ehe	e h e	- e h e -	3	4	ABOVE		
11154	Amanaye	ABOVE	ɨwata	ɨwata	ɨ w a t a	ɨ w a t a	2	2	HIGH		
11243	Teko	ABOVE	ʔal / wate kɨti	ʔal	ʔ a l	ʔ a l - - - - - -	1	3	ABOVE		
